Fire Number;Incident Name;Fire Start Date;Initial Report Date;Fire Out Date;Region;Zone;County;Municipality;Cause;NFFL Fuel Model;Complex Type;Acreage;Latitude;Longitude;Ownership;State Land Unit Name;Total;Fatalities;Injuries;Homes Lost;Homes Threatened;Other Structures Lost;Other Structures Threatened;Reporting Ranger;Fire Report Method;Railroad Name;Location 1
NYS-2015-0034;Clay Meadow Fire;04/16/2015;04/16/2015;04/18/2015;5;5E;WARREN;BOLTON;Smoking; 8 - Timber - Light Hardwood Litter;5;0.3;43.62975;-73.60782;Forest Preserve;Lake George WF;0;0;0;0;0;0;0;Perryman,Arthur C;911 Dispatch;;(43.62975, -73.60782)
NYS-2015-0033;Sedgwick Fire;04/16/2015;04/16/2015;04/17/2015;4;4A;RENSSELAER;BERLIN;Debris Burning;10 - Timber  - Heavy Litter/Downed Fuels;4;4;42.67562;-73.36838;Private Property;N/A;0;0;0;0;0;0;0;Hess,Joseph C;911 Dispatch;;(42.67562, -73.36838)
NYS-2015-0032;Oakridge Fire;04/16/2015;04/16/2015;04/17/2015;4;4A;COLUMBIA;CANAAN;Debris Burning;10 - Timber  - Heavy Litter/Downed Fuels;4;7.8;42.387;-73.41293;Private Property;;0;0;0;0;0;0;0;DiCintio,Chris A;911 Dispatch;;(42.387, -73.41293)
NYS-2015-0031;Edison Timmerman Fire;04/16/2015;04/16/2015;04/16/2015;4;4A;GREENE;CAIRO;Smoking; 8 - Timber - Light Hardwood Litter;4;2.2;42.33117;-74.0621;Private Property;;0;0;0;0;0;0;0;Nelson,Christine X;911 Dispatch;;(42.33117, -74.0621)
NYS-2015-0030;Blueberry Hill Fire;04/16/2015;04/16/2015;04/18/2015;3;3B;PUTNAM;KENT;Debris Burning; 9 - Timber - Medium Hardwood Litter;5;21.4;41.50266;-73.77863;Private Property;N/A;0;0;0;0;0;0;0;Parlier,Philip J;911 Dispatch;N/A;(41.50266, -73.77863)
NYS-2015-0029;Wyckoff Fire;04/16/2015;04/16/2015;04/16/2015;4;4A;GREENE;GREENVILLE;Debris Burning; 8 - Timber - Light Hardwood Litter;5;0.6;42.37558;-74.04868;Private Property;;0;0;0;0;0;0;0;Dawson,Robert B;911 Dispatch;;(42.37558, -74.04868)
NYS-2015-0028;Wurtsboro Fire 5;04/16/2015;04/16/2015;04/16/2015;3;3B;SULLIVAN;MAMAKATING;Incendiary; 7 - Brush - Understory;5;0.3;41.60881;-74.55152;Private Property;;0;0;0;0;0;0;0;Virkler,Alexander R;911 Dispatch;;(41.60881, -74.55152)
NYS-2015-0027;Conroy Fire;04/16/2015;04/16/2015;04/16/2015;4;4A;ALBANY;WESTERLO;Smoking; 8 - Timber - Light Hardwood Litter;5;0.8;42.44696;-74.03588;Private Property;;0;0;0;0;0;0;0;Hess,Joseph C;911 Dispatch;;(42.44696, -74.03588)
NYS-2015-0026;Smalls Property Fire;04/16/2015;04/16/2015;04/16/2015;6;6A;ST LAWRENCE;CLIFTON;Equipment; 1 - Grass - Light;5;0.2;44.22048;-74.83471;Private Property;;0;0;0;0;0;0;0;Benzel,William ;Ranger Patrol;;(44.22048, -74.83471)
NYS-2015-0025;Thacher State Park Fire;04/16/2015;04/16/2015;04/16/2015;4;4A;ALBANY;NEW SCOTLAND;Miscellaneous; 8 - Timber - Light Hardwood Litter;5;0.8;42.63847;-74.01238;OPR&HP (State Parks);John Boyd Thacher State Park;0;0;0;0;0;0;0;Seeley,Jason J;Fire Department;;(42.63847, -74.01238)
NYS-2015-0024;Sack's Lodge Fire;04/16/2015;04/16/2015;04/17/2015;3;3A;ULSTER;SAUGERTIES;Miscellaneous; 9 - Timber - Medium Hardwood Litter;5;6;42.13105;-73.97474;Private Property;;0;0;0;0;0;0;0;Slade,Kevin M;911 Dispatch;;(42.13105, -73.97474)
NYS-2015-0023;29 Forman;04/15/2015;04/15/2015;04/15/2015;3;3B;SULLIVAN;COCHECTON;Smoking; 1 - Grass - Light;5;0.2;41.69768;-74.95496;Private Property;;0;0;0;0;0;0;0;Virkler,Alexander R;911 Dispatch;;(41.69768, -74.95496)
NYS-2015-0022;Exit 11 Fire;04/15/2015;04/15/2015;04/21/2015;5;5F;SARATOGA;MALTA;Miscellaneous; 8 - Timber - Light Hardwood Litter;4;17.1;42.93262;-73.80319;Private Property;I-87 Northway Northbound;0;0;0;0;0;0;0;Goetke,Anthony G;Ranger Patrol;;(42.93262, -73.80319)
NYS-2015-0021;Sprout Creek Fire;04/15/2015;04/15/2015;04/16/2015;3;3B;DUTCHESS;WAPPINGER;Incendiary; 8 - Timber - Light Hardwood Litter;5;9.3;41.61612;-73.84;Private Property;;0;0;0;0;0;0;0;Davey,Nancy H;911 Dispatch;;(41.61612, -73.84)
NYS-2015-0020;Golfcourse Road ;04/15/2015;04/15/2015;04/15/2015;5;5E;WARREN;WARRENSBURG;Incendiary; 9 - Timber - Medium Hardwood Litter;5;2;43.5035;-73.8028;Private Property;;0;0;0;0;0;0;0;Schroeder,Rick A;Ranger Patrol;;(43.5035, -73.8028)
NYS-2015-0019;Segard Fire;04/15/2015;04/15/2015;04/16/2015;5;5C;ESSEX;KEENE;Power line; 7 - Brush - Understory;5;0.3;44.24999;-73.7825;Private Property;;0;0;0;0;0;0;0;Praczkajlo,Robert ;911 Dispatch;;(44.24999, -73.7825)
NYS-2015-0018;Wurtsboro Fire 3;04/15/2015;04/15/2015;04/15/2015;3;3B;SULLIVAN;MAMAKATING;Incendiary; 1 - Grass - Light;5;0.3;41.54191;-74.50179;Wildlife Management Area;;0;0;0;0;0;0;0;Virkler,Alexander R;911 Dispatch;;(41.54191, -74.50179)
NYS-2015-0017;Wurtsboro Fire 4;04/15/2015;04/15/2015;04/15/2015;3;3B;SULLIVAN;MAMAKATING;Incendiary; 1 - Grass - Light;5;0.3;41.58861;-74.46609;Private Property;;0;0;0;0;0;0;0;Virkler,Alexander R;911 Dispatch;;(41.58861, -74.46609)
NYS-2015-0016;Barber fire;04/15/2015;04/15/2015;04/15/2015;7;7A;BROOME;WINDSOR;Debris Burning; 1 - Grass - Light;4;1.8;42.0065;-75.69145;Private Property;;0;0;0;0;0;0;0;Oldroyd,Jeremy M;911 Dispatch;;(42.0065, -75.69145)
NYS-2015-0015;Mule Fire ;04/13/2015;04/13/2015;04/13/2015;4;4B;SCHOHARIE;FULTON;Equipment; 9 - Timber - Medium Hardwood Litter;4;8.7;42.60783;-74.46555;Private Property;;0;0;0;0;0;1;0;Geesler,Sarah B;911 Dispatch;;(42.60783, -74.46555)
